,name,url,price,product_code,img_url,size,category_path,img_file
2209,Cowhead Organic Rolled Oats Regular 500G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=39524&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,2.45,39524.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/11603675_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,11603675_M1.jpg
2210,Nestle Nestum 3in1 Cereal Milk Drink Original 28G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=304550&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=13590&storeId=10001,4.4,304550.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13068308_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13068308_M1.jpg
2211,Nestle Nestum 3in1 Cereal Milk Drinks Oats 18S 30G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=304548&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=13590&storeId=10001,5.45,304548.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13068307_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13068307_M1.jpg
2212,Captain Oats Instant Oatmeal 800G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=131704&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,3.8,131704.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13011649_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13011649_M1.jpg
2213,Captain Oats Instant Oatmeal 12KG,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=119494&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,5.1,119494.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13031655_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13031655_M1.jpg
2214,Quaker Quickcook Oatmeal Hearty Supreme - Refill 1KG,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=120238&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,5.1,120238.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13042837_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13042837_M1.jpg
2215,Anzen Organic Rolled Oats - Instant 1KG,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=100200&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,4.85,100200.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13055700_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13055700_M1.jpg
2216,Natures Path Org Apple Cinnamon Inst Oatmeal 400G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=77176&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,7.8,77176.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/12600652_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,12600652_M1.jpg
2217,AusPro Dr Oatcare 850G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=77482&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,32.0,77482.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13026563_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13026563_M1.jpg
2218,Origins Healthfood Raw Rolled Oats 500G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=73058&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,2.75,73058.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/920555_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,920555_M1.jpg
2219,Origins Healthfood Organic Baby Oat 500G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=73110&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,3.85,73110.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10426160_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,10426160_M1.jpg
2220,Origins Healthfood Organic Rolled Oat 500G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=73090&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,4.85,73090.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10274574_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,10274574_M1.jpg
2221,Quaker Flavoured Instant Oatmeal Fruits  Nuts 350G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=68858&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=35508&storeId=10001,6.0,68858.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13035152_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,13035152_M1.jpg
2222,Natures Path Org Hot Oatmeal - Vty Pck 8S 400G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13590&productId=39338&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13544&storeId=10001,7.8,39338.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/11488072_M1.jpg,,Groceries->Cereals->Hot Cereal & Oats,11488072_M1.jpg
2223,Anchor Hocking 3-Piece Bakeware,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13785&productId=388502&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=13785&storeId=10001,27.9,388502.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/13057092_M1.jpg,,General Merchandise->Household Items->Kitchen Gadget,13057092_M1.jpg
2224,Red Man Konnyaku Premix Jelly Powder 250G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=42804&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,2.25,42804.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/10459077_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,10459077_M1.jpg
2225,Hollyfarms Mango Dessert 120G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=42064&errorViewName=ProductDisplayErrorView&langId=-1&top_category=&parent_category_rn=13576&storeId=10001,1.55,42064.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/383274_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,383274_M1.jpg
2226,Swallow Agar Agar Powder - Yellow 10G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=41868&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,1.1,41868.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/194803_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,194803_M1.jpg
2227,Swallow Agar Agar Powder - Orange 10G,http://www.fairprice.com.sg/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10051&categoryId=13576&productId=41866&errorViewName=ProductDisplayErrorView&langId=-1&top_category=13501&parent_category_rn=13501&storeId=10001,1.1,41866.0,http://s3-ap-southeast-1.amazonaws.com/www.fairprice.com.sg/fpol/media/images/product/M/194796_M1.jpg,,Groceries->Baking Needs->Jelly Powder & Mix,194796_M1.jpg
