,Unnamed: 0,store_website,description,regular_price,url,image,promotion_quantity,brand,store_name,store_slug,discount,promotion_price,measurement,image_large_url,product_code,availability,store,name,img_file
579,579,http://www.primeonline.com.sg/,Nestle Milo Activ-Go Australian Recipe,12.5,http://www.primeonline.com.sg/nestle-milo-activ-go-aust-recipe.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/n/e/nestlemilogoaustreceipe_022500125_main.jpg,,Milo,Prime Supermarket,prime-supermarket,,,900 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/n/e/nestlemilogoaustreceipe_022500125_main.jpg,22500125,True,,Nestle Milo Activ-Go Australian Recipe,nestlemilogoaustreceipe_022500125_main.jpg
580,580,http://www.primeonline.com.sg/,Long Bannet Toothbrush Hard,1.4,http://www.primeonline.com.sg/long-bannet-toothbrush-hard.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/l/o/longbannettoothbrushhard1s_030400124_main_3.jpg,,Long Bannet,Prime Supermarket,prime-supermarket,,,1s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/l/o/longbannettoothbrushhard1s_030400124_main_3.jpg,30400124,True,,Long Bannet Toothbrush Hard,longbannettoothbrushhard1s_030400124_main_3.jpg
581,581,http://www.primeonline.com.sg/,Oral-B All Rounder Micro Thin Clean,6.95,http://www.primeonline.com.sg/oral-b-all-rounder-micro-thin-clean.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/o/r/oralballroundermicrothin4s_030400781_main_3.jpg,,Oral B,Prime Supermarket,prime-supermarket,,,4 s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/o/r/oralballroundermicrothin4s_030400781_main_3.jpg,30400781,True,,Oral-B All Rounder Micro Thin Clean,oralballroundermicrothin4s_030400781_main_3.jpg
582,582,http://www.primeonline.com.sg/,ALLSWELL - WATER CHESTNUT & SUGAR CANE,1.3,http://www.primeonline.com.sg/allswell-water-chestnut-sugar-cane-2002.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellwaterchestnut_023200681_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.15,,500 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellwaterchestnut_023200681_main.jpg,23200681,True,,Allswell Water Chestnut Sugar Cane,allswellwaterchestnut_023200681_main.jpg
583,583,http://www.primeonline.com.sg/,Darlie Toothbrush Complete Clean - Soft,3.95,http://www.primeonline.com.sg/darlie-toothbrush-complete-clean-soft.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothbrush1s_030400101_main.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,1s,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothbrush1s_030400101_main.jpg,30400101,False,,Darlie Toothbrush Complete Clean - Soft,darlietoothbrush1s_030400101_main.jpg
584,584,http://www.primeonline.com.sg/,Darlie Toothpaste - Expert White,5.9,http://www.primeonline.com.sg/darlie-adult-toothpaste-expert-white.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpasteexpertwhite120g_030400948_main.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,120 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpasteexpertwhite120g_030400948_main.jpg,30400948,True,,Darlie Toothpaste - Expert White,darlietoothpasteexpertwhite120g_030400948_main.jpg
585,585,http://www.primeonline.com.sg/,Darlie Toothpaste With Premium Regular,5.95,http://www.primeonline.com.sg/darlie-toothpaste-with-premium-regular.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastewpremregular3s_030400305_main_3.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,2s x 250g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastewpremregular3s_030400305_main_3.jpg,30400305,True,,Darlie Toothpaste With Premium Regular,darlietoothpastewpremregular3s_030400305_main_3.jpg
586,586,http://www.primeonline.com.sg/,Darlie Toothpaste Double Action,3.6,http://www.primeonline.com.sg/darlie-toothpaste-double-action.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastedoubleaction250g_030400299_main_3.jpg,,Darlie,Prime Supermarket,prime-supermarket,2.8,,250 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastedoubleaction250g_030400299_main_3.jpg,30400299,True,,Darlie Toothpaste Double Action,darlietoothpastedoubleaction250g_030400299_main_3.jpg
587,587,http://www.primeonline.com.sg/,Darlie Toothpaste (Kids) - Orange Flavor,1.2,http://www.primeonline.com.sg/darlie-toothpaste-kids-orange-flavor.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastekidsorange40g_030400079_main.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,40 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastekidsorange40g_030400079_main.jpg,30400079,True,,Darlie Toothpaste (Kids) - Orange Flavor,darlietoothpastekidsorange40g_030400079_main.jpg
588,588,http://www.primeonline.com.sg/,Darlie Toothpaste (Fluoride) - Tea Care,3.15,http://www.primeonline.com.sg/darlie-toothpaste-fluoride-tea-care.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpasteteacare160g_030400266_main.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,160 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpasteteacare160g_030400266_main.jpg,30400266,True,,Darlie Toothpaste (Fluoride) - Tea Care,darlietoothpasteteacare160g_030400266_main.jpg
