,level,node_parent,node_name,node_label
150,2.0,149.0,Sauces,150.0
151,2.0,15.0,Breaded Seafood,151.0
152,2.0,126.0,Honey & Maple Syrup,152.0
153,2.0,28.0,Natural Cheese,153.0
154,2.0,40.0,Carbonated Drinks,154.0
155,2.0,129.0,Baby Rusk & Biscuits,155.0
156,2.0,40.0,Cordial & Juice,156.0
157,2.0,97.0,Follow On Formula,157.0
158,1.0,43.0,Laundry Aids,158.0
159,2.0,158.0,Laundry Others,159.0
160,2.0,48.0,Low Suds,160.0
161,2.0,40.0,Condensed Milk,161.0
162,2.0,1.0,Soyabean Oil,162.0
163,2.0,44.0,Floor Cleaner,163.0
164,1.0,39.0,Snacks,164.0
165,2.0,164.0,Jellies & Puddings,165.0
166,2.0,22.0,Lithium,166.0
167,2.0,3.0,Pasta,167.0
168,2.0,40.0,Creamer,168.0
169,2.0,1.0,Canola Oil,169.0
170,2.0,63.0,Meat Balls,170.0
171,2.0,164.0,Sweets,171.0
172,2.0,56.0,Footcare,172.0
173,2.0,126.0,Jam & Kaya,173.0
174,2.0,26.0,Leafy Vegetables,174.0
175,2.0,2.0,Disposable Underwear,175.0
176,2.0,63.0,Chicken Finger Food,176.0
177,2.0,164.0,Chocolates,177.0
178,2.0,122.0,Sanitary Pad,178.0
179,2.0,164.0,Biscuits,179.0
180,2.0,61.0,Essence,180.0
181,2.0,1.0,Sunflower Oil,181.0
182,1.0,43.0,Paper Products,182.0
183,2.0,182.0,Bathroom Tissue,183.0
184,2.0,54.0,Delicate,184.0
185,2.0,19.0,Chilled Soya Milk,185.0
186,1.0,5.0,Chilled Drinks,186.0
187,2.0,186.0,Chilled Juice Drink,187.0
188,2.0,6.0,Pork,188.0
189,2.0,85.0,Kitchen Appliances,189.0
190,2.0,61.0,Health Supplements,190.0
191,2.0,149.0,Dressing & Topping,191.0
192,2.0,68.0,Home Freshener,192.0
193,2.0,24.0,Dim Sum,193.0
194,2.0,56.0,Body Lotion & Cream,194.0
195,2.0,28.0,Butter,195.0
196,2.0,87.0,Cake Mix,196.0
197,2.0,1.0,Vegetable Oil,197.0
198,1.0,8.0,Eggs,198.0
199,2.0,198.0,Shell Eggs,199.0
200,2.0,158.0,Laundry Softener,200.0
201,2.0,87.0,Baking Flour,201.0
202,2.0,97.0,Ready To Drink,202.0
203,2.0,37.0,Instant Porridge,203.0
204,2.0,25.0,Specialty Bread,204.0
205,2.0,68.0,Insecticide,205.0
206,2.0,92.0,Serviettes,206.0
207,1.0,0.0,Sugar,207.0
208,2.0,207.0,Sugar & Substitutes,208.0
209,2.0,95.0,Hair Conditioner,209.0
210,2.0,129.0,Baby Meals & Snacks,210.0
211,2.0,35.0,Cosmetics,211.0
212,2.0,149.0,Seasoning,212.0
213,2.0,44.0,Kitchen Cleaner,213.0
214,2.0,11.0,Canned Meat,214.0
215,2.0,89.0,Masks,215.0
216,2.0,25.0,Sandwich Bread,216.0
217,2.0,22.0,Alkaline,217.0
218,2.0,119.0,Mouthwash,218.0
219,2.0,198.0,Preserved Eggs,219.0
220,2.0,6.0,Chicken,220.0
221,2.0,149.0,Vinegar,221.0
222,2.0,19.0,Yoghurt,222.0
223,1.0,5.0,Chilled Others,223.0
224,2.0,223.0,Desserts,224.0
225,1.0,50.0,Pasar,225.0
226,2.0,129.0,Baby Juice,226.0
227,2.0,56.0,Body Powder,227.0
228,2.0,182.0,Wipes,228.0
229,2.0,24.0,Meals,229.0
230,2.0,117.0,Deli Retail Pack,230.0
231,2.0,164.0,Nuts,231.0
232,2.0,164.0,Chips & Crackers,232.0
233,2.0,44.0,Glass Cleaner,233.0
234,2.0,135.0,Breakfast Cereal,234.0
235,2.0,44.0,Shoe Care,235.0
236,2.0,19.0,Cultured Milk,236.0
237,2.0,95.0,Hair Treatment,237.0
238,2.0,11.0,Canned Fruits,238.0
239,2.0,94.0,Accessories,239.0
240,2.0,92.0,Storage Ware,240.0
241,2.0,68.0,Car Freshener,241.0
242,2.0,182.0,Facial Tissue,242.0
243,2.0,164.0,Cereal & Muesli Bar,243.0
244,2.0,119.0,Dental Aid,244.0
245,2.0,89.0,Applied Medicine,245.0
246,1.0,5.0,Fruits & Vegs,246.0
247,2.0,31.0,Baby Diapers,247.0
248,2.0,95.0,Shampoo,248.0
249,2.0,3.0,Instant Noodles,249.0
250,2.0,15.0,Crab Stick & Fish Balls,250.0
251,2.0,92.0,Bbq Accessory,251.0
252,2.0,182.0,Kitchen Towel,252.0
253,2.0,40.0,Adult Milk Powder,253.0
254,2.0,122.0,Tampon,254.0
255,2.0,6.0,Beef,255.0
256,2.0,97.0,Goat,256.0
257,2.0,158.0,Laundry Bleach,257.0
258,2.0,40.0,Soy & Organic Drinks,258.0
259,2.0,164.0,Dried Fruits,259.0
260,2.0,40.0,Choc & Malted Drinks,260.0
261,2.0,31.0,Baby Bath & Skincare,261.0
262,2.0,24.0,Cakes,262.0
263,2.0,63.0,Satay,263.0
264,2.0,40.0,Evaporated Milk,264.0
265,2.0,92.0,Disposable Crockery,265.0
266,2.0,119.0,Toothbrush,266.0
